Sl,Code,Prof Name,Prof,Co-supervisor,Topic / Title of Seminar-cum-BTP,Domain / Area,No. of Students,Student Type,"Brief Description (For no description, contact the professor)"
46,PDG1,Pallab Dasgupta,PDG,,"Formal Methods for Cyber-Physical Systems [Avionic, Railway, or Power Systems]",Formal Methods,2,CGPA>8.5,
47,PG1,Pawan Goyal,PG,"Prof. Saurabh Bagchi, Purdue University",Towards automated fact checking of pronouncements and conversations,"NLP, Text Mining",1,Any,"Fact checking corresponds to examining the truthfulness of statements made by various kinds of people in various situations. Pronouncements made by politicians are often fact checked, so are the comments made in response to a news article. We are still far from automating this process. This projects aims to take a step in this direction by identifying some primary sources of information for the block of statements, which a human will then reference in an effort to determine the truthfulness of the statements. We will evaluate the output of this project by considering pronouncements made by politicians and conversation on social media platforms and use the metric of how much it reduces the time to fact check statements. For evaluation, fact checkers will be employed through the Amazon Mechanical Turk."
48,PG2,Pawan Goyal,PG,,A character embedding model for compositionality in compound words,"NLP, word embeddings and semantics",1,Any,"A compound word is a means of vocabulary expansion in languages where multiple lexemes are joined together to form a new word. Words like boathouse and houseboat are compound words formed from the words house and boat. It needs to be investigated the effectiveness of the state of the art models of character embeddings and character n-grams like ‘charagrams’, ‘fasttext’ and ‘adaptor-grammars’ in effectively capturing the compositionally of compound words from the character embeddings obtained from its component words. The work, following the line of developing compositional distributional semantic models, in essence looks for elegant models that can construct the compound words with suitable vectorial or tensor operations with the component words and the component relations treated as operands and operators. We will be experimenting the models on tasks such as machine translation, sentence similarity and entailment in corpora rich with compounds."
49,PG3,Pawan Goyal,PG,"Dr. Sayan Pathak, MSR Redmond",Deep Learning for product knowledge graph construction from user reviews,"NLP, Deep Learning",1,Any,"Product knowledge graph can be thought of as collection of attributes of a product as well as relation between two products. Once this knowledge graph is constructed, it can be utilised to enhance product retrieval as well as customer suggestion. This project aims at constructing this knowledge graph automatically by mining the information available in product descriptions [to incorporate sellers’ viewpoints] and user reviews [to incorporate customers’ viewpoints]. Deep Learning approaches will be applied over the review text to mine this information. We have already made progress in annotating entities using a variety of well-established methods as well as recapitulated some of latest works in the field. We have a scraping engine that is collecting the much needed larger corpus to facilitate deep learning based approaches."
50,PG4,Pawan Goyal,PG,AM,Automated Enrichment of Wikipedia Reference Section,NLP,1,Any,"This project will focus on developing an application which will recommend proper scientific articles to be added to the reference section of an existing wikipedia page pertaining to a specific scientific concept. Network structure of both Wikipedia and Scientific articles, along with word and network embedding approaches will be utilized for this application."
51,PM1,Pabitra Mitra,PM,,Regularization Algorithms for Deep Neural Networks,Machine Learning,1,Any,
52,PPD1,Partha Pratim Das,PPD,,Aspect Oriented Programming in C++ using Dynamic Instrumentation,"Compilers, Software Engineering",1,Any,"Aspect Oriented Programming (AOP) is an effective means of dynamic code insertion that is useful in various test and validation systems. This has been available as AspectJ for Java and also in hardware-software co-design languages like E. However, attempts to implement AOP in C++ (AspectC++) has not proved effective because of the need of independent compilers. 
In this project we intend to use the dynamic binary instrumentation framework of PIN to support aspects for C++. This would be able to use standard C++ compiler like g++ and allow insertions of aspects at the run-time through PIN. Further, the support will be integrated with common IDEs like Eclipse to provide an end-to-end solution to the users. The aspect-extended framework will be tested for various test, debugging and validation scenarios."
53,PPD2,Partha Pratim Das,PPD,,Estimation of Program Comprehension from Code Reading Patterns using Eye-Gaze Tracker,"Machine Learning, Software Engineering, Compilers",1,Any,"Quantitative Estimation of Developers' Productivity and of Code Quality are difficult problems from Software Engineering perspectives. Often these are estimated in an adhoc manner through static program analysis tools that can raise pointers about program complexity but can hardly model the developers' capabilities.
In this project, we intend to first estimate the Program Comprehension for the developers' and then use the same for the estimation of productivity and quality. For estimation of Program Comprehension we track the Code Reading Patterns by a developer using an Eye-Gaze Tracker sensor. Based on the sequence of gaze patterns and the static analysis of the source we can map the order as well as effort spent by the developers in understanding an unknown code. Using these patterns and the hierarchical representation of the code we intend to build a deep learning model for productivity and quality estimates.
The project would be built up on several existing infrastructure of EGT and hierarchical program representation and primarily focus on learning and validating ML models from human experiments.
The target language would be C++."
54,PPD3,Partha Pratim Das,PPD,,Deep Learning Models for Analysis of Choreographic Sequences,"Machine Learning, Computer Vision, Human Activity Tracking",2,Any,"Any choreographic sequence is a complex multimedia data that carry intertwined and synchronised information of auditory, visual and inertial nature. There are several wearable and non-wearable sensors to capture such multi-modal data. Further, various signal and image processing algorithms can help in the pre-processing and low-level analyses of such data. However, the extraction of the inherent ontological structure, validation of pre-designed choreographic sequences, and inferring the semantic expressions of these complex human activities prove to be challenging with common algorithmic techniques or reasoning frameworks. Thus the classical pattern recognition and computer vision techniques fail.
In this project, we intend to use the framework of deep learning to develop an approach for analysing such multi-modal multimedia choreography data of classical Indian origin to establish new horizons for tracking complex human activities. The project will build up on a rich set of existing recorded data and low-level processing stages to focus primarily on the high-level learning of choreography models and validation against pre-existing ontology."
55,PPD4,Partha Pratim Das,PPD,JM,Infrastructure and Environment for Multi-modal Telepresence Capture and Synchronization,"Image and Signal Processing, Machine Learning, Tele-Presence, Robotics",2,Any,"Tele-presence systems have been around for a while. These are either for purposes for meetings and video conferencing that can be afforded by mid to high end corporate only. Or they are low-end solutions like Skype that have limited capability for immersive collaboration and communication. These are constrained for multi-modal inputs. Hence, in spite of the potentials, these cannot be used for instructional applications in education or entertainment.
In this project we aim at exploring current options in multi-modal tele-presence capture, synchronisation and rendition and building a solution for a tele-presence infrastructure that can be effectively engaged to develop and deliver instructional applications.  We plan to develop a Telepresence Recording Studio for various human activities (physical, visual, auditory, vibrational, optical, and the like) with high precision and proper synchronisation between multiple sensors. To setup the studio different groups of sensors will be experimented with so that various combinations of cost, effectiveness and multi-modality can be explored. Finally, simple demonstrative solutions will be built on them to assess the effectiveness of the Studio."
56,PrM1,Pralay Mitra,PrM,,Implementation of 3D Voronoi Diagram for a Cell,"Bioinformatics, geometric algorithms",2,Any,"For a given region and for a given set of points within that region, generate the 3D Voronoi Diagram. Design a suitable method for calculating the volume of each cell of the resultant Voronoi Diagram (summing up the volumes of the irregular tetrahedra formed using Delaunay Triangulation)."
57,PrM2,Pralay Mitra,PrM,,Cellular level clustering of protein molecules,Bioinformatics,2,Any,"A cell contains various biomolecules. Proteins play the most important role in the cell. So only the proteins are considered for various bioinformatics related studies. Now using a graph-theoretic clustering approach, clusters of closely related proteins are obtained. Some clusters are comparatively much bigger than the rest. Propose a method for dividing the big clusters. The Voronoi Diagram needs to be generated for the whole cell using the clusters as points. All these points will not be uniform in the Voronoi Diagram since the clusters vary in sizes. Propose a proper technique for representing the bigger and the smaller clusters considering the volume of the clusters."
58,PrM3,Pralay Mitra,PrM,,A replica exchange monte carlo implementation of protein design algorithm,Bioinformatics,2,Any,Computational protein design algorithms are available. You have to make an efficient parallel implementation of that.
59,PrM4,Pralay Mitra,PrM,,Computational Modelling of the Unfolded  State of Proteins,Bioinformatics,2,Any,
60,RgM1,Rogers Mathew,RgM,,Designing approximation algorithms for the maximum weighted budgeted independent set problem,"Graph Algorithms, Approximation algorithms",1,Any,"It's a research problem that involves learning more about linear programming, semi-definite programming etc. "
61,RgM2,Rogers Mathew,RgM,AM,On the convergence of the graph parameter 'permanence',"Graph theory, complex networks",1,Any,"To quantify the resilience of a community structure under perturbation, a new vertex based metric called 'permanence' was introduced by Chakraborty et al. The central idea of permanence is based on the observation that the strength of membership of a vertex to a community depends upon the following two factors: (i) the distribution of external connectivity of the vertex to individual communities and not the total external connectivity, and (ii) the strength of its internal connectivity and not just the total internal edges. 
We study some theoretical problems related to this new parameter."
62,RgM3,Rogers Mathew,RgM,,Developing an android app for drawing and visualizing graphs with added features to highlight its properties. ,"Android programming, graph theory, implementing algorithms. ",2,Any,This is an enhancement project. There is already an app with minimal features. 
63,RM1,Rajib Mall,RM,,A novel Unit level Testability Metric for Object-oriented Programs,"Software Engineering, Program testimg",1,Any,
64,RM2,Rajib Mall,RM,,A Novel Integration testability measure for object-oriented programs,"Program testing, Software Engineering",1,Any,
65,RSC1,Rajat Subhra Chakraborty,RSC,,GPU based Paralleized Implementation of Image Processing Algorithm,"Image processing, parallel programming",1,Any,
66,RSC2,Rajat Subhra Chakraborty,RSC,,FPGA Design of Network Packet Analyzer,VLSI,1,Any,
67,SB1,Sourangshu Bhattacharya,SB,,Learning to learn sparse representations,Machine Learning / Text Mining,1,Any,Deep learning and representation learning have become essential tools for many deep learning applications. In this project we look at sparse efficient representation learning for text mining applications like Named Entity Disambiguation.
68,SB2,Sourangshu Bhattacharya,SB,,Named Entity Disambiguation using Representation Learning,Machine Learning / NLP,1,Any,"Web pages, news articles, blog postings, and other Internet data contain mentions of named entities such as people, places, organizations, etc. Names are often ambiguous: the same name can have many different meanings. For example, given a text like “They performed Kashmir, written by Page and Plant. Page played unusual chords on his Gibson.”, how can we tell that “Kashmir” denotes a song by Led Zeppelin and not the Himalaya region(and that Page refers to guitarist Jimmy Page and not to Google founder Larry Page, and that Gibson is a guitar model rather than the actor Mel Gibson). Disambiguating named entities in natural language text means mapping mentions of ambiguous names onto canonical entities like people or places, registered in a knowledge base such as DBpedia,Freebase,YAGO. 
Now, we are posing this Named Entity Disambiguation problem as large scale multitask learning where each task output class range is several entities specified for a mention. And each mention will create each task. So if we have a specific article, we have to map every mention to an entity simultaneously. If we want to solve this problem in a limited RAM, we have to reduce the dimension of the data. Dimension Reduction can be done via many types of random projection. Or we can learn the representation in the reduced space via representation learning. "
69,SB3,Sourangshu Bhattacharya,SB,,Strassen’s Matrix Multiplication in Spark for Rectangular Matrices,Big Data / Numerical Computation,1,Any,"Matrix multiplication is found to be an essential tool for many practical applications. Numerical weather prediction is one such application which requires numerical techniques like interpolation and aggregation that act on large climatic datasets containing thousands of points with spatial and temporal attributes. Interpolation methods like Ordinary Kriging, Thin Plate Spline require multiplications of matrices of large cardinalities and therefore cannot be computed on a single machine for time and space bottleneck. So, there is an urgent need for the implementation of these matrix operations in a distributed setting for easy and faster execution of the interpolation methods. Strassen’s matrix multiplication algorithm is a fast matrix multiplication algorithm with a time complexity of O(n^{2.8}) compared to naïve implementation having a time complexity of O(n^3) where nxn is the size of the matrices. The divide and conquer nature of the algorithm provides a sound setting for implementing it in a distributed framework like Spark. Spark has emerged as a large scale data processing engine with a dedicated machine learning library (MLLib) for processing large matrices. Though the problem of multiplying two matrices having size 2^n has been well explored in the literature, there is still a scope to implement its rectangular version in Spark framework.
The project comprises two steps. The first step is to implement the rectangular version of the algorithm and the second version is to compare the results with the latest multiplication implementation of MLLib."
70,SB4,Sourangshu Bhattacharya,SB,,Machine Learning to Identify Core Features for Music,Machine Learning / Musicology,1,Any,"Sandhi – a Science-Culture initiative attempts to re-visit India’s eternal wisdom through the lens of open scientific inquiry (http://www.iitkgpsandhi.org/)
Of these major topics, we are working on the Music Project, broadly on computational musicology, based on Indian Classical Music (ICM) and its applications.
Our aim is twofold: a)To understand the deep structures of the Raga system of Indian Classical Music. b)To find patterns in the way audience responds when exposed to Indian Classical Music.
In the Indian musical tradition, ragas are associated with different times of the day, seasons, different emotions and moods. In this project, we are trying to understand the deep meaning of the ragas, why they are categorized in the way they are. What intrinsic property of each raga comprises the “raganess” of the raga? Experts of ICM are able to recognize each raga by listening to it only for a few seconds. How are they able to do this? This leads to a very interesting problem of Raga classification – a very well-known problem in this domain. A number of studies have already been undertaken on this topic, using various methods like SVM, KNN etc.
By listening to some ragas, we immediately feel sad/happy/other emotions (eg. Listen to this https://www.youtube.com/watch?v=b4glNhNvMYU the tune evokes a sense of sadness). Why is this so? Is it because of the sequence of notes used, the phrases of notes aligned one after the other, or is it some forgotten deeper structure intrinsic to the raga used: Shivaranjani. This leads to the problem of emotion identification from ICM clips. We work on the possible emotions that can be generated by ICM clips, their representation, to ultimately predict from a provided clip, the emotion it might elicit."
71,SC1,Sandip Chakraborty,SC,,Scalable Blockchain,Distributed Systems,1,Any,"Bitcoin laid the foundation for crypto-currencies through the blockchain protocols. However, most of the existing blockchain protocols have problems under scalability. Therefore, the current researches in this direction are exploring a new set of blockchain protocols, called the scalable blockchain protocols. In this project, the student needs to analyse the existing blockchain protocols under different network conditions, and the target would be to explore the development of a new blockchain protocol that would be robust and scalable under different environmental conditions. For details, you may check the following reference paper. https://www.usenix.org/system/files/conference/nsdi16/nsdi16-paper-eyal.pdf "
72,SC2,Sandip Chakraborty,SC,,QoS based Network Resource Management To Cater to Dynamic Workload Mobility in Hyperconverged Architecture,Systems,1,Any,"Current Hyperconverged (HC) environments are predominantly used for workloads such as virtual desktop infrastructure (VDI). However, HC architecture is set to evolve towards support for diverse enterprise applications with varying workload characteristics and associated scalability. This consequentially drives workload mobility requirements for optimal application workload placement on the HC nodes for efficient resource utilization, or workload migration for Business Continuity. Workload mobility is a key requirement in Data Centers for optimal workload placement and Business Continuity. Mobility of workloads, exemplarily VMs, can broadly cover (1) live migration of workloads, and (2) mobility triggered for optimal workload placement for efficient resource use For meeting the above requirements, dynamic resource management in hyper-convergence architecture, considering application performance and QoS simultaneously, is a challenging task. As new or varying intensity workloads demand for resources based on their service level agreements (SLA), the task is to optimally redistribute and schedule the resources with minimal impact over the performance of existing systems.
References: 1. http://dx.doi.org/10.1145/2775088.2775098  2. http://dx.doi.org/10.1109/AINA.2015.255 "
73,SC3,Sandip Chakraborty,SC,,Design and Development of Security Module to Prevent Information Leakage from Android Systems,Mobile Security,1,Any,"Android is the most widespread operating system for smartphones, which follows an open platform for the development of new applications, popularly known as Apps. Although Android is built over UNIX based framework, information leakage through Apps is a serious problem. This project aims at analyzing the threats from Android applications which are capable of data leakage and targets to develop unified framework for Android system to detect and stop detection based on the functional differentiation of system calls for a normal system and a malware affected system.
References: 1. http://openaccess.city.ac.uk/12200/1/comsec-review(Raj).pdf 2. http://www.ida.liu.se/labs/rtslab/publications/2011/spsm11-burguera.pdf 3. https://www.usenix.org/system/files/conference/usenixsecurity12/sec12-final107.pdf"
74,SC4,Sandip Chakraborty,SC,BM,Navigation System for Developing Countries,Smartphone Computing ,1,Any,"Public transport in suburban cities (covers 80% of the urban landscape) of developing regions suffer from lack of information in Google Transit, unpredictable travel times, chaotic schedules, absence of information board inside the vehicle. Consequently, passengers suffer from lack of information about the exact location where the bus is at present as well as the estimated time to be taken to reach the desired destination. The target for this project would be to analyze the traffic behavior over the roads of Indian cities and come up with a smart-phone based commuter assisted system or application for providing travel guidance. 
References: 1. http://www.cnergres.iitkgp.ac.in/urbaneye/ 2. http://www.cnergres.iitkgp.ac.in/crowdmap/ "
75,SD1,Soumyajit Dey,SD,,Replay Attacks in Cyber Physical Control Systems,Cyber Physical Safety,1,Any,
76,SD2,Soumyajit Dey,SD,,Replay Attack in Cyber Physical Control Systems ,Cyber Physical Systems ,1,Any,Attacks in Cyber Physical Systems are focussed on exploiting their vulnerabilities. The key difference of such systems with normal software Systems is that Cyber Physical Systems involve Dynamical components (example: an antilock brake). The project is focused on evolving methods for detecting such attacks and formulating counter measures. 
77,SD3,Soumyajit Dey,SD,,Safety and Reliability of Cyber Physical Control,Cyber Physical Systems,1,Any,"Safety and Reliability issues are central to implementation of cyber physical software systems (eg., software for Fly-by-wire control of Aircraft). The work focusses on analysis of robustness of such software in the presence of faults induced by the environment (eg, thermal breakdown of analog chips, malfunction in ALU ops etc) "
78,SD4,Soumyajit Dey,SD,,Analysis of Building Automation Systems,Cyber Physical Systems,1,Any,"Modern buildings are energy efficient and functionally autonomous w.r.t. a gamut of activities (eg, climate control, room lighting, door access control, air quality check etc). The automation involved in such systems require complex HVAC schemes which need to be power efficient. The present work is focussed on SW based analysis of such building automation plans and optimizing such plans for energy efficiency. "
79,SD5,Soumyajit Dey,SD,,Scheduling OpenCL programs in complex parallel processors,Parallel programming high performance systems,1,Any,Programs written in OpenCL/CUDA are often not optimized for the target platforms. Existing runtime systems for OpenCL/CUDA are not good enough in optimal dispatch and execution of such programs. The project is concerned with contribution in an ongoing work on building a better globally efficient  (w.r.t. a set of programs rather than a single one) runtime systems. 
80,SKG1,Soumya K Ghosh,SKG,,Spatial Cloud Computing,"Spatial Informatics, Cloud Computing",2,Dual,"The spatial sciences face grand information technology (IT) challenges: data intensity, computing intensity, concurrent access intensity and spatiotemporal intensity. These challenges require the readiness of a computing infrastructure that can: (1) better support discovery, access and utilization of data and data processing; (2) provide real-time IT resources to enable real-time applications, (3) deal with access spikes; and (4) provide more reliable and scalable service for massive numbers of concurrent use. The emergence of cloud computing provides a potential solution with an elastic, on-demand computing platform to integrate — observation systems, parameter extracting algorithms, phenomena simulations, analytical visualization and decision support — the essential elements of the spatial sciences. This project primarily aims at development of a spatial cloud and to provide cloud based services."
81,SKG2,Soumya K Ghosh,SKG,,Analysis of Human Mobility Patterns using GPS traces ,Spatial Informatics,1,Any,"The advances in location-acquisition and mobile computing techniques have generated massive spatial trajectory data, which in turn fosters various challenging location based applications like - traffic prediction or improved traffic managements, travel route recommendation, next stop prediction etc. Human movement is one of the key factors of urban planning. Human dynamics represent how people move around the city. Another strand of research in the trajectory data mining domain is semantic analysis of raw GPS traces of human mobility and utilizing the information for urban planning and other applications. This project aims addressing some of the challenges – predicting movements of crowd in a city, clustering and categorization of mobile users based on their daily movement patterns, finding k influential locations for resource allocation etc. "
82,SKG3,Soumya K Ghosh,SKG,SC,Software-defined Fog computing,"Fog Computing, SDN",1,Any,"Fog computing is envisioned to be the next big change in computing paradigm after cloud computing, and has the potential of addressing these challenges. Being a highly distributed, loosely coupled and still in the emerging phase, standardization, quality-of-service management and dynamic adaptability are the key challenges faced by fog computing research fraternity today. This project  aims to address some of these issues."
83,SM1,Sudip Misra,SM,,Sensor-Cloud for Internet of Things,"Sensor Networks, Internet of Things",1,Any,
84,SM2,Sudip Misra,SM,,Nano-Sensor Networks,"Sensor Networks, Nano-technology",1,Any,
85,SM3,Sudip Misra,SM,,Software Defined Networking,Networks,1,Any,
86,SPP1,Sudebkumar Prasant Pal,SPP,,Secret sharing for cloud computing,"Algorithms, cryptography, combinatorics",1,Any,"Study and design of new efficient schemes is proposed in this project for secret sharing multiple sets of data by multiple users sharing the different sets of data.
Students seriously interested and with sound understanding of basics in algebra and combinatorics may apply."
87,SPP2,Sudebkumar Prasant Pal,SPP,Rogers Mathew,Hypergraph coverage problems-- Variants of hitting set problems. ,Algorithms design and analysis for optimization problems on hypergraphs,1,BTech,"Usually hitting sets cover all hyperedges. We wish to partially cover the set of hyperedges, not necessarily all hyperedges but as many as possible, so that we do not overshoot an upper bound on the sum of costs of vertices in the hitting set. Such and similar multi-objective optimization problems are aimed in this work.  "
88,SPP3,Sudebkumar Prasant Pal,SPP,,Exact computing for geometric problems,"Computational Geometry, swarm robotics, exact high-precision computing",1,BTech,"Geometric computations in the real world, arising in robotics applications may sometimes require accurate  or exact computations; sometimes requiring high precision. We wish to realize and simulate such systems before we test the methods with actual robotic devices. "
89,SPP4,Sudebkumar Prasant Pal,SPP,,"Bounding the VC-dimension for visibility in polygonal regions,  art gallery problems and related issues","Algorithms, combinatorics, combinatorial geometry, VC-dimensions, art gallery problems",1,Any,"Guarding art galleries by direct or reflection visibility and determining a small number of guards are the topics under investigation. Sound knowledge of algorithms and interest in combinatorics, geometry is needed. One problem is to bound or estimate the VC-dimension under various kinds of visibility for polygons with holes. We can build up over some partial results already obtained in the past in our team."
90,SS1,Sudeshna Sarkar,SS,,"Drug Repurposing from Biomedical text using text mining, graph algorithms and neural networks","NLP, ML   (Machine Learning, Natural Language Processing)",2,Any,"To use advanced machine learning algorithms and network algorithms to identify entities, relations, synonymy from biomedical text and use network analysis and data for drug repurposing and drug reconsidering applications. V Dense vector representation and Recurrent Neural network based models will be used in character and word level for text mining and graph analysis. "
91,SS2,Sudeshna Sarkar,SS,,Syntactic and Semantic parsing of Indian languages using neural networks,"NLP, ML",2,Any,We wish to use cross-lingual transfer methods to develop syntactic and semantic parsers for low resource languages. We will use different neural network architectures and available linguistic modules and resources.
92,SS3,Sudeshna Sarkar,SS,,Machine Translation for low resource language pairs,NLP and ML,1,Any,We will explore recent neural network architectures for Machine Translation and augment them to work with low resource language pairs.
93,SS4,Sudeshna Sarkar,SS,,Intelligent Transportation System,Data Analytics and Algorithms,1,Any,"We will explore intelligent transportation planning systems. We may explore the use of multiple sources of historical and real-time data and look at applications for route planning and bidding, route optimization, transportation scheduling, etc."
94,SSL1,Shamik Sural,SSL,,Attribute based Access Control,Security,1,Any,
95,SSL2,Shamik Sural,SSL,,Data Analytics,Data analytics,1,Any,
96,SSL3,Shamik Sural,SSL,,Deep Learning,Machine Learning,1,Any,
97,SSL4,Shamik Sural,SSL,,Cloud Computing,Cloud Computing,1,Any,
,,,,,Total,,113,,
